name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,pos,age,gp,w,l,min,pts,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,x
Jalen Smith,Chicago Bulls,United States,7,C,PF,Inside-Out Board Hunter,"6'9""",215,"7'2""",8571429,5,2000-03-16,77,97,72,83,74,70,69,68,65,82,80,29,38,40,56,70,48,35,68,80,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Suggs,Orlando Magic,United States,4,PG,SG,2-Way Inside-Out ISO Creator,"6'5""",205,"6'6""",9188385,4,2001-06-03,82,91,73,83,77,70,88,93,59,88,80,78,86,84,77,55,93,80,62,38,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Williams,Oklahoma City Thunder,United States,8,PF,SF,Walking Bucket,"6'5""",211,"7'2""",4775760,3,2001-04-14,86,96,96,88,83,88,87,87,50,90,80,78,86,78,67,55,77,49,58,48,64,F,22,75,36,39,2275.6,1056,414,794,52.1,73,205,35.6,155,191,81.2,84,253,337,248,123,103,35,191,2123,3,0,-53
Jalen Wilson,Brooklyn Nets,United States,22,SF,PF,Catch & Shoot Threat,"6'6""",220,"6'8""",1891857,2,2000-11-04,71,77,72,75,79,75,82,79,30,80,80,64,68,63,44,35,57,35,37,62,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamal Cain,New Orleans Pelicans,United States,8,SF,PF,Ball Hawk,"6'7""",210,"6'11""",NA,3,1999-03-20,70,77,59,76,77,75,66,68,60,80,83,44,53,49,59,60,68,73,57,57,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamal Murray,Denver Nuggets,Canada,27,PG,SG,Offensive Architect,"6'4""",215,"6'7""",36016200,9,1997-02-23,87,87,93,86,92,70,80,80,54,95,78,84,89,85,61,35,77,43,57,37,53,PG,26,65,43,22,2133.4,1298,473,1041,45.4,172,432,39.8,180,216,83.3,48,209,257,400,145,66,16,103,2307,5,1,300
Jamal Shead,Toronto Raptors,United States,23,PG,SG,Mid-Range Shot Creator,"6'1""",195,"6'5""",NA,1,2002-07-24,69,74,74,74,77,40,97,94,49,88,80,79,86,77,59,34,77,75,37,34,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Harden,Los Angeles Clippers,United States,1,PG,SG,Playmaking Inside-Out Scorer,"6'5""",220,"6'11""",33653846,16,1989-08-26,84,75,81,85,87,45,85,85,71,98,95,82,95,94,64,62,70,43,61,33,63,SG,33,58,39,19,2135,1216,371,842,44.1,161,418,38.5,313,361,86.7,40,314,354,618,195,71,31,112,2679,36,5,277
James Johnson,Indiana Pacers,United States,16,PF,C,Versatile Defender,"6'7""",240,"7'1""",NA,16,1987-02-20,70,77,60,68,63,30,67,74,80,84,83,70,74,70,72,74,74,63,72,46,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Wiseman,Indiana Pacers,United States,13,C,NA,Board-Hunting Lob Threat,"6'11""",240,"7'6""",2237691,5,1998-03-31,75,94,67,67,70,55,70,70,70,87,87,54,66,64,60,74,50,31,71,75,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarace Walker,Indiana Pacers,United States,5,PF,C,3-Level Scoring Threat,"6'7""",235,"7'3""",6362520,2,2003-09-04,74,80,80,78,66,65,81,81,80,90,80,69,62,68,68,70,67,70,76,45,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Butler,Washington Wizards,United States,4,PG,NA,Steady Playmaker,"6'3""",193,"6'4""",2196970,4,2000-08-25,71,90,65,73,82,70,80,80,50,83,80,69,82,68,52,30,60,73,51,33,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared McCain,Philadelphia 76ers,United States,20,SG,SF,Perimeter Shot Creator,"6'3""",197,"6'7""",4020360,1,2004-02-20,70,74,80,82,86,50,76,76,52,90,80,68,82,67,54,45,63,57,37,37,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Rhoden,Toronto Raptors,United States,8,PF,SF,Spot-Up Threat,"6'5""",210,"6'9""",NA,3,1999-08-27,70,56,80,77,80,70,68,72,62,80,82,55,69,54,58,47,68,32,74,54,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaren Jackson Jr.,Memphis Grizzlies,United States,13,C,PF,2-Way Inside-Out Threat,"6'10""",242,"7'5""",25257798,7,1999-09-15,87,88,68,78,84,90,63,80,82,90,94,45,60,50,81,90,80,53,83,46,63,PF,23,63,41,22,1787.5,1173,416,822,50.6,100,282,35.5,241,306,78.8,108,318,426,60,107,65,189,227,2429,7,0,366
Jarred Vanderbilt,Los Angeles Lakers,United States,2,PF,C,2-Way Interior Threat,"6'8""",214,"7'1""",10714286,7,1999-04-03,78,85,69,66,69,65,75,83,70,75,78,60,65,38,78,83,83,85,45,65,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarrett Allen,Cleveland Cavaliers,United States,31,C,NA,Paint Beast,"6'9""",243,"7'5""",20000000,8,1998-04-21,84,97,82,63,70,80,75,72,84,92,82,25,35,48,73,89,72,38,70,78,87,C,25,68,44,24,2220.1,969,403,626,64.4,1,10,10,162,221,73.3,221,445,666,113,93,54,84,153,2259,32,0,345
Jason Preston,Utah Jazz,United States,10,PG,SG,3PT Playmaker,"6'3""",181,"6'9""",NA,4,1999-08-10,69,71,70,75,62,50,82,82,52,85,80,84,75,84,50,40,64,35,25,68,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Green,New Orleans Pelicans,United States,26,PF,SF,Slashing Stretch Four,"6'5""",205,"7'0""",NA,10,1993-07-23,74,73,70,82,67,60,72,74,46,80,82,60,72,68,74,74,77,66,75,68,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaxson Hayes,Los Angeles Lakers,United States,11,C,PF,Interior Threat,"7'0""",220,"7'4""",2463946,6,2000-05-23,73,92,68,60,56,45,58,64,72,80,80,29,38,40,62,78,48,53,68,67,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jay Huff,Memphis Grizzlies,United States,30,C,NA,Stretch Five,"7'1""",240,"7'5""",NA,4,1997-08-25,67,77,72,77,77,50,48,47,62,80,77,50,43,60,52,62,32,32,69,64,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Brown,Boston Celtics,United States,7,SF,SG,2-Way Scoring Phenom,"6'6""",223,"7'0""",49700000,9,1996-10-24,92,93,96,83,72,80,79,87,69,95,82,78,86,84,74,70,87,53,53,45,59,SG,26,67,46,21,2404.9,1784,679,1383,49.1,163,487,33.5,263,344,76.5,78,381,459,232,197,75,26,172,2789,13,0,256
Jaylen Clark,Minnesota Timberwolves,United States,0,SG,NA,Defensive Menace,"6'4""",205,"6'9""",NA,2,2001-10-13,68,68,60,70,69,60,79,86,55,85,79,50,66,50,68,52,81,78,50,51,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Martin,Brooklyn Nets,United States,16,SG,SF,Perimeter Defender,"6'6""",216,"6'10""",NA,2,2004-01-28,67,57,56,50,60,60,83,76,40,85,82,60,65,38,55,38,69,36,73,73,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Nowell,Washington Wizards,United States,20,PG,SG,Inside the Arc Shot Creator,"6'4""",201,"6'7""",NA,6,1999-07-09,74,91,85,71,78,85,81,80,39,85,80,64,75,68,46,29,60,46,32,41,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Wells,Memphis Grizzlies,United States,0,SF,PF,3PT Shot Creator,"6'8""",205,"7'0""",NA,1,2003-08-26,68,64,72,79,81,50,86,75,60,85,80,54,75,54,44,51,60,33,30,44,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Williams,Oklahoma City Thunder,United States,6,C,NA,Stretch Five,"6'9""",240,"7'1""",2019699,3,2002-06-29,75,79,76,80,70,85,50,57,60,78,80,62,59,69,62,74,45,43,67,48,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylon Tyson,Cleveland Cavaliers,United States,24,SF,PF,Perimeter Shot Creator,"6'7""",210,"6'11""",3326160,1,2002-12-02,70,75,78,76,79,45,80,76,63,85,80,69,75,68,52,50,67,46,50,41,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayson Tatum,Boston Celtics,United States,0,PF,SF,2-Way Scoring Phenom,"6'8""",210,"6'10""",34848340,8,1998-03-03,95,92,96,87,79,98,82,88,71,95,80,78,86,84,74,81,87,42,53,39,78,SF,25,74,52,22,2732.2,2225,727,1559,46.6,240,686,35,531,622,85.4,78,571,649,342,213,78,51,160,3691,31,1,470
JD Davison,Boston Celtics,United States,20,PG,SG,Rim Attacker,"6'1""",195,"6'7""",NA,3,2002-10-03,69,70,73,71,73,50,85,85,54,88,80,72,86,75,52,25,56,69,61,36,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nate Williams,Houston Rockets,United States,19,SF,SG,Catch & Shoot Threat,"6'5""",205,"7'2""",NA,3,1999-02-12,69,70,79,75,85,50,68,68,52,80,83,65,71,66,46,40,52,40,53,67,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Dowtin,Philadelphia 76ers,United States,11,PG,SG,Steady Playmaker,"6'3""",177,"6'7""",NA,5,1997-05-10,70,74,72,79,76,75,70,70,30,80,80,75,78,75,50,30,60,73,40,36,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Green,Houston Rockets,United States,32,PF,C,Balanced 2-Way Threat,"6'8""",235,"7'1""",9600000,18,1986-08-28,74,88,75,76,82,50,63,75,70,89,82,69,74,70,59,69,70,32,62,43,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerami Grant,Portland Trail Blazers,United States,9,SF,PF,2-Way 3-Level Shot Creator,"6'7""",210,"7'3""",29793104,11,1994-03-12,82,81,88,84,83,70,77,77,69,95,82,69,76,70,65,70,69,37,58,35,50,SF,29,63,28,35,2245.5,1290,434,913,47.5,144,359,40.1,278,342,81.3,53,230,283,150,116,51,53,152,2051,2,0,-35
Jeremiah Robinson-Earl,New Orleans Pelicans,United States,50,PF,C,Inside-Out Scoring Threat,"6'8""",240,"6'10""",2196970,4,2000-11-03,72,87,66,76,83,75,62,62,60,80,80,65,69,66,51,66,40,40,51,63,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy Sochan,San Antonio Spurs,Poland,10,PF,PG,Small Ball Four,"6'8""",230,"7'0""",5570040,3,2003-05-20,77,73,67,74,78,80,70,74,60,90,80,79,79,82,62,65,74,41,55,58,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jericho Sims,New York Knicks,United States,20,C,NA,Interior Scorer,"6'10""",250,"7'3""",2092344,4,1998-10-20,72,68,69,26,52,60,80,80,65,85,80,30,35,32,53,66,40,33,70,73,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jermaine Samuels Jr.,Houston Rockets,United States,00,PF,SF,Rim Rocker,"6'6""",230,"6'9""",NA,3,1998-11-13,68,66,66,69,63,50,81,78,66,85,80,52,62,52,52,63,63,42,47,66,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jett Howard,Orlando Magic,United States,13,SF,SG,Perimeter Shot Creator,"6'6""",215,"6'9""",5278320,2,2003-09-14,71,74,78,79,80,55,69,69,58,90,80,69,73,65,56,55,67,43,56,43,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jevon Carter,Chicago Bulls,United States,5,PG,SG,Perimeter Threat,"6'1""",200,"6'4""",6500000,7,1995-09-14,73,92,89,76,82,80,76,83,60,85,81,75,79,70,63,34,79,53,56,31,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jimmy Butler,Miami Heat,United States,22,SF,PF,2-Way Inside-Out Point Forward,"6'7""",230,"6'8""",48798677,14,1989-09-14,89,89,81,83,89,58,84,92,76,97,81,85,86,89,81,80,90,75,45,55,54,SF,33,64,35,29,2138,1466,479,888,53.9,36,103,35,472,555,85,141,234,375,340,101,117,21,80,2739,11,0,47
Jock Landale,Houston Rockets,Australia,2,C,NA,Inside the Arc Threat,"6'11""",255,"7'3""",8000000,7,1995-10-25,76,94,75,63,75,75,54,54,64,80,80,58,52,64,57,65,48,41,80,81,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Ingles,Minnesota Timberwolves,Australia,7,SF,PF,3 & D Wing,"6'9""",220,"6'10""",2087519,16,1987-10-02,74,64,75,86,86,60,66,80,64,92,80,75,70,75,65,58,80,53,35,34,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joel Embiid,Philadelphia 76ers,Cameroon,21,C,NA,2-Way 3-Level Scorer,"7'0""",280,"7'5""",51415938,11,1994-03-16,96,97,96,82,89,80,69,69,96,95,76,74,57,82,77,92,68,49,82,83,94,C,29,66,43,23,2284.1,2183,728,1328,54.8,66,200,33,661,771,85.7,113,557,670,274,226,66,112,205,3706,39,1,424
John Collins,Utah Jazz,United States,20,C,PF,Inside-Out Scoring Threat,"6'9""",226,"6'11""",26580000,8,1997-09-23,80,95,69,81,75,60,71,65,75,92,84,37,60,66,57,74,49,37,68,67,85,PF,25,71,37,34,2129.6,931,359,707,50.8,70,240,29.2,143,178,80.3,77,385,462,85,79,42,73,220,1879,11,0,-21
John Konchar,Memphis Grizzlies,United States,46,SG,SF,Perimeter Shot Creator,"6'5""",210,"6'8""",6165000,6,1996-03-22,72,73,76,76,78,65,62,69,40,93,84,74,76,79,59,54,62,63,80,57,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Davis,Washington Wizards,United States,1,SG,SF,Inside-Out Shot Creator,"6'4""",195,"6'8""",5291160,3,2002-02-27,70,70,60,76,70,60,78,79,54,85,80,70,82,70,60,68,73,42,52,40,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Furphy,Indiana Pacers,Australia,7,PF,SF,Stretch Four,"6'9""",210,"7'1""",NA,1,2004-12-07,70,77,77,79,77,55,79,63,54,85,80,60,59,64,50,52,57,43,45,57,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Juzang,Utah Jazz,United States,33,SF,SG,3PT Shot Creator,"6'7""",209,"6'11""",NA,3,2001-03-17,69,84,73,79,84,40,70,70,55,85,80,59,72,62,47,50,58,31,37,35,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonas Valanciunas,Washington Wizards,Lithuania,17,C,NA,Inside The Arc Board Hunter,"6'11""",265,"7'3""",9900000,14,1992-05-06,82,97,88,74,79,75,62,48,89,90,81,36,35,65,60,75,43,35,74,74,92,C,30,79,40,39,1968.2,1115,446,816,54.7,38,109,34.9,185,224,82.6,225,579,804,140,159,20,52,245,2347,43,0,-10
Jonathan Isaac,Orlando Magic,United States,1,PF,NA,2-Way Slashing Stretch Four,"6'10""",230,"7'1""",25000000,8,1997-10-03,78,71,73,81,81,50,73,80,70,75,67,65,76,55,82,83,83,70,92,68,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Kuminga,Golden State Warriors,DR Congo,00,PF,SF,3-Level Scoring Threat,"6'7""",225,"6'11""",7636307,4,2002-10-06,80,95,80,75,71,70,84,84,73,88,80,69,67,60,62,73,73,42,56,51,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Mogbo,Toronto Raptors,United States,2,PF,C,Interior Threat,"6'8""",215,"7'0""",NA,1,2001-10-29,69,70,47,30,59,50,91,79,68,88,80,66,70,67,65,64,64,75,55,64,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Clarkson,Utah Jazz,United States,00,SG,SF,3-Level Slasher,"6'3""",194,"6'8""",14092577,11,1992-06-07,78,91,81,79,83,70,79,82,54,80,83,79,88,81,46,43,65,37,32,41,47,PG,30,61,30,31,1988.3,1271,458,1031,44.4,155,459,33.8,200,245,81.6,72,174,246,270,186,33,13,120,1923,3,0,35
Jordan Goodwin,Los Angeles Lakers,United States,12,SG,PG,Steady Combo Guard,"6'4""",200,"6'10""",325590,4,1998-10-23,74,69,71,72,87,75,75,76,49,80,80,78,78,78,64,47,71,66,56,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Hawkins,New Orleans Pelicans,United States,24,SG,PG,3PT Shot Creator,"6'5""",190,"6'7""",4525680,2,2002-04-29,73,80,73,83,87,80,70,72,48,89,80,72,75,75,52,45,65,35,40,38,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan McLaughlin,Sacramento Kings,United States,3,PG,NA,3-Level Scoring Threat,"6'0""",185,"6'5""",2087519,7,1996-04-09,74,73,74,84,75,95,72,74,52,80,83,83,84,80,60,25,73,86,50,41,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Miller,Los Angeles Clippers,United States,11,SF,SG,Interior Threat,"6'5""",194,"7'0""",NA,2,2000-01-23,68,67,70,72,74,50,84,78,52,85,80,60,69,62,55,54,65,57,67,37,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Poole,Washington Wizards,United States,13,PG,SG,3-Level Slasher,"6'4""",194,"6'7""",29651786,6,1999-06-19,79,81,78,80,86,65,81,81,61,80,80,83,89,82,51,47,65,49,47,32,46,SG,23,82,44,38,2458.1,1675,550,1278,43,214,637,33.6,361,415,87,32,193,225,369,252,63,21,214,2499,1,0,-11
Jordan Walsh,Boston Celtics,United States,27,PF,SF,Interior Threat,"6'7""",205,"7'2""",1891857,2,2004-03-03,70,67,65,68,71,50,77,77,54,89,80,63,68,62,67,63,75,62,54,44,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jose Alvarado,New Orleans Pelicans,Puerto Rico,15,PG,SG,Defensive Menace,"6'0""",179,"6'1""",1988598,4,1998-04-12,76,79,73,81,60,75,76,86,42,80,80,75,73,68,73,31,85,90,53,38,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Christopher,Miami Heat,United States,8,SG,PG,Inside the Arc Shot Creator,"6'4""",215,"6'9""",NA,4,2001-12-08,70,90,75,70,75,60,84,84,55,88,80,68,75,62,58,49,67,59,58,38,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Giddey,Chicago Bulls,Australia,3,SG,PG,3-Level Scoring Combo Guard,"6'8""",216,"6'8""",8352367,4,2002-10-10,79,85,85,77,78,45,79,79,60,88,80,96,89,95,60,50,69,40,60,57,80,SG,20,76,34,42,2367.3,1260,539,1118,48.2,76,234,32.5,106,145,73.1,148,451,599,469,211,57,31,143,2735,28,4,-105
Josh Green,Charlotte Hornets,Australia,10,SF,SG,3-Level Scoring Threat,"6'7""",200,"6'10""",12654321,5,2000-11-16,76,69,77,82,62,50,86,86,60,89,83,70,70,70,61,35,79,43,37,39,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Hart,New York Knicks,United States,3,PF,SF,2-Way Inside-Out Shot Creator,"6'4""",215,"6'8""",18144000,8,1995-03-06,82,74,72,79,75,65,81,86,64,99,82,73,79,80,71,78,86,42,45,80,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Minott,Minnesota Timberwolves,United States,8,SF,PF,Interior Threat,"6'8""",205,"7'0""",2019699,3,2002-11-25,70,74,65,74,75,50,72,72,62,80,80,62,63,60,62,48,63,63,74,66,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Okogie,Phoenix Suns,Nigeria,2,SF,SG,Wing Stopper,"6'4""",213,"7'0""",8250000,7,1998-09-01,74,84,78,73,77,80,89,89,46,80,82,69,76,62,73,50,81,76,62,67,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Richardson,Miami Heat,United States,0,PG,SG,Defensive Menace,"6'5""",200,"6'10""",3051153,10,1993-09-15,75,94,82,78,90,70,80,81,57,95,83,69,78,68,68,69,81,38,51,34,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jrue Holiday,Boston Celtics,United States,4,PG,SG,2-Way Inside-Out ISO Creator,"6'5""",205,"6'7""",30000000,16,1990-06-12,87,96,71,86,83,80,79,96,49,90,80,84,86,85,83,66,95,81,61,46,58,PG,32,67,50,17,2182.5,1290,490,1023,47.9,158,411,38.4,152,177,85.9,79,262,341,495,197,79,25,116,2557,16,0,481
J.T. Thor,Cleveland Cavaliers,South Sudan,13,PF,SF,Stretch Four,"6'9""",203,"7'3""",NA,4,2002-08-26,71,76,72,78,70,45,84,84,50,85,80,65,60,66,58,65,63,33,72,55,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julian Champagnie,San Antonio Spurs,United States,30,SF,SG,3 & D Threat,"6'7""",217,"6'10""",3000000,3,2001-06-29,73,65,74,80,78,75,69,69,37,85,80,66,68,64,55,45,67,46,63,40,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julian Phillips,Chicago Bulls,United States,15,SF,PF,Perimeter Defender,"6'8""",198,"7'0""",1891857,2,2003-11-05,70,67,68,74,82,70,73,78,40,85,80,60,66,57,57,50,68,28,72,45,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
